TRANSACTION DATE/TIME,CONTRACT,PNL,OPEN / CLOSE,BUY / SELL,QUANTITY,ORDER TYPE,INSTRUMENT TYPE,CALL / PUT,STRIKE PRICE,LIMIT PRICE,TIME IN FORCE,FILL PRICE,STOP PRICE
06/04/2025 08:42:48 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21744.75,0.0
06/04/2025 08:43:42 AM,NQM25,-75.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21741.0,0.0
06/04/2025 08:46:16 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21772.5,0.0
06/04/2025 08:47:14 AM,NQM25,45.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21774.75,0.0
06/05/2025 07:53:27 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21766.5,0.0
06/05/2025 07:50:07 AM,NQM25,140.0,Close,SELL,1,LMT,FUTURE,"","",21773.5,DAY,21773.5,0.0
06/05/2025 08:52:11 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21790.75,0.0
06/05/2025 08:50:07 AM,NQM25,-1055.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21738.0,0.0
06/06/2025 08:23:41 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21775.5,0.0
06/06/2025 08:24:07 AM,NQM25,15.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21776.25,0.0
06/06/2025 08:25:34 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21782.0,0.0
06/06/2025 08:24:28 AM,NQM25,-160.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21774.0,0.0
06/06/2025 08:26:15 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21787.5,0.0
06/06/2025 08:27:13 AM,NQM25,-245.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21775.25,0.0
06/09/2025 08:38:30 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21799.75,0.0
06/09/2025 08:40:15 AM,NQM25,130.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21806.25,0.0
06/10/2025 09:00:44 AM,NQM25,"",Open,BUY,1,STP,FUTURE,"","",0.0,GTC,21874.0,21874.0
06/10/2025 09:00:16 AM,NQM25,-125.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21867.75,0.0
06/12/2025 08:43:15 AM,NQM25,"",Open,BUY,1,STP,FUTURE,"","",0.0,GTC,21850.5,21851.0
06/12/2025 08:43:10 AM,NQM25,-75.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21846.75,0.0
06/12/2025 08:46:21 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21833.25,0.0
06/12/2025 08:45:29 AM,NQM25,220.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21844.25,0.0
06/12/2025 08:50:33 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21871.75,0.0
06/12/2025 08:50:57 AM,NQM25,80.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21875.75,0.0
06/13/2025 08:47:10 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21734.25,0.0
06/13/2025 08:46:24 AM,NQM25,230.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21745.75,0.0
06/16/2025 08:40:37 AM,NQM25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21814.75,0.0
06/16/2025 08:40:49 AM,NQM25,375.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21833.5,0.0
06/17/2025 08:38:18 AM,NQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,22062.0,0.0
06/17/2025 08:35:09 AM,NQU25,-180.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,22053.0,0.0
06/17/2025 08:41:46 AM,NQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,22090.75,0.0
06/17/2025 08:40:57 AM,NQU25,175.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,22099.5,0.0
06/17/2025 08:52:12 AM,NQU25,"",Open,BUY,1,LMT,FUTURE,"","",22060.75,DAY,22060.75,0.0
06/17/2025 08:57:13 AM,NQU25,105.0,Close,SELL,1,LMT,FUTURE,"","",22066.0,DAY,22066.0,0.0
06/19/2025 08:38:35 AM,NQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21780.0,0.0
06/19/2025 08:39:54 AM,NQU25,120.0,Close,SELL,1,LMT,FUTURE,"","",21786.0,DAY,21786.0,0.0
06/19/2025 08:44:39 AM,NQU25,"",Open,BUY,1,LMT,FUTURE,"","",21755.0,DAY,21755.0,0.0
06/19/2025 08:43:20 AM,NQU25,130.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21761.5,0.0
06/23/2025 08:36:54 AM,NQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21874.75,0.0
06/23/2025 08:37:34 AM,NQU25,-40.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21872.75,0.0
06/23/2025 08:42:14 AM,NQU25,"",Open,BUY,1,MKT,FUTURE,"","",0.0,DAY,21808.25,0.0
06/23/2025 08:41:33 AM,NQU25,140.0,Close,SELL,1,MKT,FUTURE,"","",0.0,DAY,21815.25,0.0
